Created At,Locations,Organization ID,Organization Name,Organization Logo URL,Organization Slug,Organization Topics,Organization Industry Tags,Organization Stage,Organization Head Count,Source,Slug,Title,URL,Featured,Has Description
1697195772,"['Germany', 'Remote']",11236,Arctic Wolf,https://cdn.filestackcontent.com/Sx4RbOQDKr4lauSjrAlg,arctic-wolf,"['500+', 'B2B', 'Cybersecurity', 'Software', 'Team true north']","['Information Technology', 'Security', 'Software']",other,5,career_page,30711269-customer-success-manager-m-w-d,Customer Success Manager (m/w/d),https://arcticwolf.wd1.myworkdayjobs.com/External/job/Remote-Germany/Customer-Success-Manager--m-w-d-_R23_1008,False,True
1697195644,['Singapore'],28290,Ross Video,"https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/YRTlz1kHRFeumLxfA7rL",ross-video,"['500+', 'B2B', 'Hardware (non-robotics)', 'Media & entertainment', 'Team true north']","['Media', 'Software', 'Sports']",other,5,career_page,30710979-regional-sales-manager-southeast-asia-job-req-2024-003,"Regional Sales Manager, Southeast Asia (Job Req #2024-003)",https://usr58.dayforcehcm.com/CandidatePortal/en-US/rossvideo/Posting/View/5416,False,True
1697195643,"['Iroquois, ON K0E 1K0, Canada']",28290,Ross Video,"https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/YRTlz1kHRFeumLxfA7rL",ross-video,"['500+', 'B2B', 'Hardware (non-robotics)', 'Media & entertainment', 'Team true north']","['Media', 'Software', 'Sports']",other,5,career_page,30710977-manufacturing-training-specialist-job-req-2024-001,Manufacturing Training Specialist (Job Req #2024-001),https://usr58.dayforcehcm.com/CandidatePortal/en-US/rossvideo/Posting/View/5408,False,True
1697194956,"['Canada', 'Remote']",11687,Auvik Networks,https://cdn.filestackcontent.com/pROmDPlDQLyPpv6kpYnz,auvik-networks,['C100 alumni'],"['Information Technology', 'Software']",other,4,career_page,30709792-technical-support-specialist-12-month-contract,Technical Support Specialist (12+ Month Contract),https://www.auvik.com/careers/opening/?gh_jid=6968966002,False,True
1697194315,"['United States', 'Remote']",11719,InitLive Inc.,"https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/yDAB37cQKqFhDM6HwblQ",initlive-inc-2,[],"['Finance', 'Food', 'Information Technology', 'Media', 'Software', 'Sports']",seed,1,career_page,30708368-enterprise-architect,Enterprise Architect,https://boards.greenhouse.io/bloomerang/jobs/4327567005,False,True
1697193713,"['San Francisco, CA, USA']",9195,Sonder,https://cdn.filestackcontent.com/MdDp6xTCRMa6LSETuT4H,sonder,"['500+', 'B2C', 'Marketplace', 'Proptech', 'Software', 'Travel']",['Travel'],ipo,5,career_page,30707342-sr-hospitality-agent,Sr.Hospitality Agent,https://www.sonder.com/careers/job?gh_jid=6969333002,False,True
1697193712,"['San Francisco, CA, USA']",9195,Sonder,https://cdn.filestackcontent.com/MdDp6xTCRMa6LSETuT4H,sonder,"['500+', 'B2C', 'Marketplace', 'Proptech', 'Software', 'Travel']",['Travel'],ipo,5,career_page,30707336-maintenance-tech-ii,Maintenance Tech II,https://www.sonder.com/careers/job?gh_jid=6969318002,False,True
1697193710,"['Nashville, TN, USA']",9195,Sonder,https://cdn.filestackcontent.com/MdDp6xTCRMa6LSETuT4H,sonder,"['500+', 'B2C', 'Marketplace', 'Proptech', 'Software', 'Travel']",['Travel'],ipo,5,career_page,30707328-hospitality-agent,Hospitality Agent,https://www.sonder.com/careers/job?gh_jid=6969809002,False,True
1697193513,"['Toronto, ON, Canada']",10614,ecobee,https://cdn.filepicker.io/api/file/udrdQUisQyjkeyfMN5UA,ecobee,"['B2B', 'B2C', 'Energy', 'Hardware (non-robotics)', 'Sensors/IoT']","['Energy', 'Hardware', 'Manufacturing']",series_c_plus,4,career_page,30707009-senior-sales-operations-analyst,Senior Sales Operations Analyst,https://www.ecobee.com/careers/job-board?gh_jid=5426076,False,True
1697193256,"['Oakville, ON, Canada']",22438,Geotab,https://cdn.filepicker.io/api/file/wUIg8GCtSy8y6U5a0yag,geotab,"['500+', 'B2B', 'Sensors/IoT', 'Team true north', 'Transportation']","['Hardware', 'Information Technology', 'Software', 'Transportation']",other,5,career_page,30706444-senior-software-developer-front-end,"Senior Software Developer, Front End",https://jobs.lever.co/geotab/28608843-4ebf-4a39-9028-5b85f1355f07,False,True
